Block Size	Time Taken
40000	0.530276
40100	0.533983
40200	0.535399
40300	0.541352
40400	0.541281
40500	0.543958
40600	0.545268
40700	0.548269
40800	0.551652
40900	0.554444
41000	0.557797
41100	0.560665
41200	0.563127
41300	0.564513
41400	0.567536
41500	0.570499
41600	0.573269
41700	0.576581
41800	0.578909
41900	0.581501
42000	0.584704
42100	0.588764
42200	0.590588
42300	0.578449
42400	0.596183
42500	0.599435
42600	0.602085
42700	0.606058
42800	0.608201
42900	0.614271
43000	0.614814
43100	0.623260
43200	0.620240
43300	0.622488
43400	0.624664
43500	0.628090
43600	0.631755
43700	0.635231
43800	0.639828
43900	0.641301
44000	0.645347
44100	0.651741
44200	0.649723
44300	0.652688
44400	0.655628
44500	0.657113
44600	0.662087
44700	0.663641
44800	0.669952
44900	0.686684
45000	0.695395
45100	0.697255
45200	0.690898
45300	0.696018
45400	0.703817
45500	0.698024
45600	0.714893
45700	0.719974
45800	0.711284
45900	0.705253
46000	0.707747
46100	0.712885
46200	0.709355
46300	0.710088
46400	0.718744
46500	0.721020
46600	0.721706
46700	0.729135
46800	0.745117
46900	0.748520
47000	0.763414
47100	0.752068
47200	0.770200
47300	0.774957
47400	0.746191
47500	0.773000
47600	0.749845
47700	0.755204
47800	0.758866
47900	0.763801
48000	0.767478
48100	0.768398
48200	0.771884
48300	0.775661
48400	0.778809
48500	0.782111
48600	0.782823
48700	0.789606
48800	0.792017
48900	0.795538
49000	0.798407
49100	0.810437
49200	0.810883
49300	0.822391
49400	0.827391
49500	0.836088
49600	0.838370
49700	0.834691
49800	0.859362
49900	0.854831
50000	0.841917
50100	0.838009
50200	0.846052
50300	0.844131
50400	0.845819
50500	0.852027
50600	0.855431
50700	0.859425
50800	0.862304
50900	0.866166
51000	0.866463
51100	0.872750
51200	0.876626
51300	0.881611
51400	0.883116
51500	0.884163
51600	0.888637
51700	0.896732
51800	0.898390
51900	0.903109
52000	0.906583
52100	0.909052
52200	0.913562
52300	0.918284
52400	0.918397
52500	0.926300
52600	0.929971
52700	0.933440
52800	0.935774
52900	0.937739
53000	0.939252
53100	0.947563
53200	0.951901
53300	0.954922
53400	0.960050
53500	0.962882
53600	0.967728
53700	0.970103
53800	0.971421
53900	0.977761
54000	0.977847
54100	0.985628
54200	0.989681
54300	0.993256
54400	0.998003
54500	1.001006
54600	1.005067
54700	1.009984
54800	1.014375
54900	1.015010
55000	1.019434
55100	1.022866
55200	1.027708
55300	1.028493
55400	1.048329
55500	1.046566
55600	1.053114
55700	1.069255
55800	1.072488
55900	1.066768
56000	1.061627
56100	1.073742
56200	1.072889
56300	1.076869
56400	1.100196
56500	1.097110
56600	1.108213
56700	1.121017
56800	1.132184
56900	1.120602
57000	1.099095
57100	1.095581
57200	1.103696
57300	1.106615
57400	1.110806
57500	1.114523
57600	1.119678
57700	1.124805
57800	1.126502
57900	1.130398
58000	1.134851
58100	1.135378
58200	1.144295
58300	1.147701
58400	1.152779
58500	1.177164
58600	1.187374
58700	1.175494
58800	1.203045
58900	1.217273
59000	1.176500
59100	1.188418
59200	1.206929
59300	1.204469
59400	1.224744
59500	1.246403
59600	1.277864
59700	1.268347
59800	1.258499
59900	1.259543
60000	1.294024
60100	1.272554
60200	1.270991
60300	1.269789
60400	1.273976
60500	1.274490
60600	1.270161
60700	1.273303
60800	1.291887
60900	1.289770
61000	1.283857
61100	1.285306
61200	1.305348
61300	1.306407
61400	1.297089
61500	1.300864
61600	1.307435
61700	1.311041
61800	1.316560
61900	1.327160
62000	1.339143
62100	1.333842
62200	1.334616
62300	1.337225
62400	1.346800
62500	1.339789
62600	1.347470
62700	1.389671
62800	1.384882
62900	1.375660
63000	1.412168
63100	1.424804
63200	1.409810
63300	1.430288
63400	1.432093
63500	1.423512
63600	1.465117
63700	1.457332
63800	1.444833
63900	1.488894
64000	1.487658
64100	1.448543
64200	1.451800
64300	1.465417
64400	1.477526
64500	1.471030
64600	1.467772
64700	1.442837
64800	1.510656
64900	1.511512
65000	1.521083
65100	1.513678
65200	1.519872
65300	1.481910
65400	1.501919
65500	1.516393
65600	1.527423
65700	1.490106
65800	1.488883
65900	1.485395
66000	1.471378
66100	1.486372
66200	1.508477
66300	1.481169
66400	1.477942
66500	1.485342
66600	1.487941
66700	1.490438
66800	1.497516
66900	1.559239
67000	1.521792
67100	1.502604
67200	1.517092
67300	1.564811
67400	1.558989
67500	1.552349
67600	1.587937
67700	1.552192
67800	1.537603
67900	1.537581
68000	1.545132
68100	1.561403
68200	1.620030
68300	1.557159
68400	1.570230
68500	1.578871
68600	1.572188
68700	1.626274
68800	1.652472
68900	1.677765
69000	1.681432
69100	1.677312
69200	1.629156
69300	1.612572
69400	1.610550
69500	1.634442
69600	1.643581
69700	1.680354
69800	1.676054
69900	1.703125
70000	1.755443
70100	1.724182
70200	1.736992
70300	1.708343
70400	1.698949
70500	1.721035
70600	1.724858
70700	1.714978
70800	1.717395
70900	1.735962
71000	1.755694
71100	1.741348
71200	1.815626
71300	1.780723
71400	1.795455
71500	1.785969
71600	1.761440
71700	1.805295
71800	1.783809
71900	1.784943
72000	1.779288
72100	1.757263
72200	1.778497
72300	1.843472
72400	1.809343
72500	1.801719
72600	1.842078
72700	1.880154
72800	1.857809
72900	1.849821
73000	1.826314
73100	1.879379
73200	1.837919
73300	1.848065
73400	1.871776
73500	1.905768
73600	1.917211
73700	1.894471
73800	1.887434
73900	1.888111
74000	1.898206
74100	1.925044
74200	1.943881
74300	1.942427
74400	1.898072
74500	1.926490
74600	1.928838
74700	1.908262
74800	1.895421
74900	1.881784
75000	1.935560
75100	1.966966
75200	2.002741
75300	2.016431
75400	1.981367
75500	1.988292
75600	1.966534
75700	1.986646
75800	1.999288
75900	2.052754
76000	2.015410
76100	2.014371
76200	1.997856
76300	2.003515
76400	2.041662
76500	2.083277
76600	2.039650
76700	2.032422
76800	2.027418
76900	2.079120
77000	2.080499
77100	2.073207
77200	2.077715
77300	2.097137
77400	2.086274
77500	2.040895
77600	2.023285
77700	2.079871
77800	2.031323
77900	2.118777
78000	2.085656
78100	2.105885
78200	2.105117
78300	2.078125
78400	2.062043
78500	2.070221
78600	2.104629
78700	2.111718
78800	2.115138
78900	2.186354
79000	2.170291
79100	2.217339
79200	2.203072
79300	2.205695
79400	2.233826
79500	2.184144
79600	2.199589
79700	2.195781
79800	2.214940
79900	2.199122
80000	2.266616
80100	2.207680
80200	2.217690
80300	2.177455
80400	2.245688
80500	2.209126
80600	2.222259
80700	2.209982
80800	2.211731
80900	2.228729
81000	2.209926
81100	2.211132
81200	2.217080
81300	2.226167
81400	2.229492
81500	2.230433
81600	2.236501
81700	2.242559
81800	2.245952
81900	2.251969
82000	2.256334
82100	2.264454
82200	2.270952
82300	2.276828
82400	2.280296
82500	2.284817
82600	2.299748
82700	2.297972
82800	2.306307
82900	2.310198
83000	2.315522
83100	2.321019
83200	2.329332
83300	2.329029
83400	2.335634
83500	2.344186
83600	2.344650
83700	2.361283
83800	2.358187
83900	2.372050
84000	2.380514
84100	2.381939
84200	2.386251
84300	2.390388
84400	2.396566
84500	2.402418
84600	2.440040
84700	2.469187
84800	2.507211
84900	2.509813
85000	2.543110
85100	2.534661
85200	2.502646
85300	2.569754
85400	2.595047
85500	2.546506
85600	2.561408
85700	2.639512
85800	2.588924
85900	2.545369
86000	2.579466
86100	2.637776
86200	2.540539
86300	2.561765
86400	2.575765
86500	2.609595
86600	2.561753
86700	2.531789
86800	2.539707
86900	2.536968
87000	2.542803
87100	2.550833
87200	2.559665
87300	2.649420
87400	2.579382
87500	2.585898
87600	2.593409
87700	2.634197
87800	2.637932
87900	2.624531
88000	2.640009
88100	2.630009
88200	2.630882
88300	2.761905
88400	2.760830
88500	2.789789
88600	2.709165
88700	2.736117
88800	2.755191
88900	2.744412
89000	2.668259
89100	2.671152
89200	2.686504
89300	2.682051
89400	2.693638
89500	2.694753
89600	2.701620
89700	2.706124
89800	2.715506
89900	2.726790
90000	2.725323
90100	2.736168
90200	2.741656
90300	2.753874
90400	2.752032
90500	2.759437
90600	2.764684
90700	2.771102
90800	2.776709
90900	2.781488
91000	2.791702
91100	2.793371
91200	2.879824
91300	2.857359
91400	2.813777
91500	2.817234
91600	2.827256
