Block Size	Time Taken
40000	1.379000
40100	1.371000
40200	1.637000
40300	2.303000
40400	2.489000
40500	1.496000
40600	1.425000
40700	1.437000
40800	1.475000
40900	1.447000
41000	1.456000
41100	1.562000
41200	1.960000
41300	1.788000
41400	1.710000
41500	1.971000
41600	1.904000
41700	1.816000
41800	1.833000
41900	1.817000
42000	2.028000
42100	2.129000
42200	2.151000
42300	2.026000
42400	2.178000
42500	2.181000
42600	2.231000
42700	2.209000
42800	2.086000
42900	2.109000
43000	1.846000
43100	1.889000
43200	2.206000
43300	2.442000
43400	2.095000
43500	1.975000
43600	2.186000
43700	1.908000
43800	2.033000
43900	2.420000
44000	2.378000
44100	2.427000
44200	2.309000
44300	2.236000
44400	2.214000
44500	2.215000
44600	2.476000
44700	2.156000
44800	1.706000
44900	1.719000
45000	1.725000
45100	1.734000
45200	1.802000
45300	1.773000
45400	1.751000
45500	1.755000
45600	1.764000
45700	1.804000
45800	1.808000
45900	1.810000
46000	1.794000
46100	1.815000
46200	1.830000
46300	1.880000
46400	1.829000
46500	1.834000
46600	1.838000
46700	1.849000
46800	1.858000
46900	1.868000
47000	1.872000
47100	1.876000
47200	1.921000
47300	1.898000
47400	1.913000
47500	1.926000
47600	1.918000
47700	1.971000
47800	1.964000
47900	1.955000
48000	2.001000
48100	1.965000
48200	1.980000
48300	1.988000
48400	1.986000
48500	1.992000
48600	2.026000
48700	2.019000
48800	2.029000
48900	2.031000
49000	2.065000
49100	2.049000
49200	2.068000
49300	2.065000
49400	2.070000
49500	2.116000
49600	2.092000
49700	2.113000
49800	2.120000
49900	2.116000
50000	2.126000
50100	2.172000
50200	2.150000
50300	2.157000
50400	2.161000
50500	2.166000
50600	2.192000
50700	2.183000
50800	2.226000
50900	2.207000
51000	2.213000
51100	2.217000
51200	2.225000
51300	2.228000
51400	2.262000
51500	2.283000
51600	2.260000
51700	2.272000
51800	2.279000
51900	2.285000
52000	2.310000
52100	2.306000
52200	2.317000
52300	2.322000
52400	2.323000
52500	2.349000
52600	2.356000
52700	2.434000
52800	2.373000
52900	2.387000
53000	2.390000
53100	2.402000
53200	2.401000
53300	2.421000
53400	2.428000
53500	2.437000
53600	2.448000
53700	2.449000
53800	2.491000
53900	2.465000
54000	2.485000
54100	2.490000
54200	2.494000
54300	2.503000
54400	2.528000
54500	2.550000
54600	2.534000
54700	2.585000
54800	2.560000
54900	2.596000
55000	2.576000
55100	2.594000
55200	2.589000
55300	2.627000
55400	2.622000
55500	2.619000
55600	2.641000
55700	2.649000
55800	2.685000
55900	2.648000
56000	2.658000
56100	2.667000
56200	2.673000
56300	2.722000
56400	2.703000
56500	2.718000
56600	2.715000
56700	2.739000
56800	2.739000
56900	2.910000
57000	3.832000
57100	3.611000
57200	3.416000
57300	3.430000
57400	3.498000
57500	3.396000
57600	3.362000
57700	3.589000
57800	3.418000
57900	3.246000
58000	3.345000
58100	3.346000
58200	3.818000
58300	3.826000
58400	3.443000
58500	3.398000
58600	3.359000
58700	3.482000
58800	3.281000
58900	3.132000
59000	3.291000
59100	3.263000
59200	3.049000
59300	3.002000
59400	2.999000
59500	3.052000
59600	3.012000
59700	3.077000
59800	3.053000
59900	3.053000
60000	3.085000
60100	3.096000
60200	3.102000
60300	3.100000
60400	3.133000
60500	3.120000
60600	3.132000
60700	3.161000
60800	3.141000
60900	3.165000
61000	3.153000
61100	3.245000
61200	3.237000
61300	3.202000
61400	3.216000
61500	3.252000
61600	3.233000
61700	3.235000
61800	3.246000
61900	3.266000
62000	3.287000
62100	3.283000
62200	3.302000
62300	3.434000
62400	3.312000
62500	3.348000
62600	3.386000
62700	3.327000
62800	3.371000
62900	3.362000
63000	3.373000
63100	3.385000
63200	3.397000
63300	3.403000
63400	3.408000
63500	3.415000
63600	3.424000
63700	3.433000
63800	3.452000
63900	3.472000
64000	3.475000
64100	3.495000
64200	3.536000
64300	3.501000
64400	3.506000
64500	3.537000
64600	3.548000
64700	3.618000
64800	3.569000
64900	3.595000
65000	3.630000
65100	3.609000
65200	3.655000
65300	3.631000
65400	3.655000
65500	3.661000
65600	3.682000
65700	3.684000
65800	3.685000
65900	3.708000
66000	3.730000
66100	3.736000
66200	3.825000
66300	4.971000
66400	7.313000
66500	7.516000
66600	8.181000
66700	7.777000
66800	7.200000
66900	7.422000
67000	6.775000
67100	6.868000
67200	7.732000
67300	7.566000
67400	7.676000
67500	7.979000
67600	7.549000
67700	7.563000
67800	7.820000
67900	7.909000
68000	8.129000
68100	7.502000
68200	7.175000
68300	7.075000
68400	4.007000
68500	3.995000
68600	3.997000
68700	4.001000
68800	4.024000
68900	4.058000
69000	4.058000
69100	4.073000
69200	4.086000
69300	4.084000
69400	4.101000
69500	4.098000
69600	4.133000
69700	4.164000
69800	4.150000
69900	4.164000
70000	4.156000
70100	4.170000
70200	4.207000
70300	4.240000
70400	4.204000
70500	4.244000
70600	4.255000
70700	4.316000
